2022-11-21 01:36:08 [pool-2-thread-2] INFO  com.epam.multithreading.entity.Ship [[run]] - The ship number 2 is create
2022-11-21 01:36:08 [pool-2-thread-1] INFO  com.epam.multithreading.entity.Ship [[run]] - The ship number 1 is create
2022-11-21 01:36:08 [pool-2-thread-3] INFO  com.epam.multithreading.entity.Ship [[run]] - The ship number 3 is create
2022-11-21 01:36:08 [pool-2-thread-4] INFO  com.epam.multithreading.entity.Port [[getPier]] - Pier number 0 took ship 5  
2022-11-21 01:36:08 [pool-2-thread-4] INFO  com.epam.multithreading.entity.Pier [[unload]] - Ship 5 is unloaded
2022-11-21 01:36:08 [pool-2-thread-4] INFO  com.epam.multithreading.entity.Ship [[run]] - Ship number 5 leave
2022-11-21 01:36:08 [pool-2-thread-3] INFO  com.epam.multithreading.entity.Port [[getPier]] - Pier number 1 took ship 3  
2022-11-21 01:36:08 [pool-2-thread-3] INFO  com.epam.multithreading.entity.Pier [[unload]] - Ship 3 is unloaded
2022-11-21 01:36:08 [pool-2-thread-1] INFO  com.epam.multithreading.entity.Port [[getPier]] - Pier number 0 took ship 1  
